epoch,accuracy,loss,val_accuracy,val_loss
0,0.9287499785423279,0.21602396667003632,0.9649999737739563,0.11240802705287933
1,0.9375,0.18829244375228882,0.9649999737739563,0.11928033828735352
2,0.9424999952316284,0.17838050425052643,0.9649999737739563,0.1143408715724945
3,0.9449999928474426,0.18673813343048096,0.9649999737739563,0.11050206422805786
4,0.9412500262260437,0.17451311647891998,0.9649999737739563,0.10704053193330765
5,0.9412500262260437,0.1733848601579666,0.9649999737739563,0.10416892170906067
6,0.9449999928474426,0.16175509989261627,0.9649999737739563,0.10136990249156952
7,0.9449999928474426,0.1609353870153427,0.9649999737739563,0.09906590729951859
8,0.9449999928474426,0.16217073798179626,0.9649999737739563,0.09663364291191101
9,0.9449999928474426,0.15960532426834106,0.9649999737739563,0.0947800949215889
10,0.9462500214576721,0.14449575543403625,0.9649999737739563,0.09242361038923264
11,0.9449999928474426,0.14822590351104736,0.9649999737739563,0.09068576991558075
12,0.949999988079071,0.14993365108966827,0.9649999737739563,0.08896360546350479
13,0.9549999833106995,0.14928597211837769,0.9649999737739563,0.08721678704023361
14,0.9524999856948853,0.14341941475868225,0.9649999737739563,0.08545150607824326
15,0.949999988079071,0.14865563809871674,0.9649999737739563,0.08386246860027313
16,0.9487500190734863,0.13628318905830383,0.9649999737739563,0.08226409554481506
17,0.9587500095367432,0.1233227476477623,0.9649999737739563,0.08050853759050369
18,0.9512500166893005,0.13409586250782013,0.9649999737739563,0.07895053923130035
19,0.9537500143051147,0.12792973220348358,0.9649999737739563,0.07751910388469696
