epoch,accuracy,loss,val_accuracy,val_loss
0,0.9516666531562805,0.3309384882450104,0.996666669845581,0.023404475301504135
1,0.9750000238418579,0.12983153760433197,0.996666669845581,0.022676458582282066
2,0.9808333516120911,0.07464627921581268,1.0,0.011294514872133732
3,0.9791666865348816,0.10667245090007782,1.0,0.010177007876336575
4,0.9741666913032532,0.10654448717832565,1.0,0.009454471059143543
5,0.9733333587646484,0.11032230406999588,1.0,0.008932200260460377
6,0.9791666865348816,0.09745990484952927,1.0,0.00857970304787159
7,0.9808333516120911,0.08312542736530304,1.0,0.008253214880824089
8,0.9758333563804626,0.09659270197153091,1.0,0.007969433441758156
9,0.9775000214576721,0.09176575392484665,1.0,0.007735610939562321
10,0.9783333539962769,0.08276326954364777,0.9833333492279053,0.02447861060500145
11,0.9708333611488342,0.09763861447572708,1.0,0.00709405355155468
12,0.9691666960716248,0.10020730644464493,0.9833333492279053,0.024000978097319603
13,0.9633333086967468,0.10070066899061203,0.9833333492279053,0.02314131334424019
14,0.9733333587646484,0.09079258143901825,0.996666669845581,0.010990693233907223
15,0.9783333539962769,0.07579328864812851,0.996666669845581,0.009892239235341549
16,0.9750000238418579,0.08246511220932007,0.996666669845581,0.009764738380908966
17,0.9825000166893005,0.07768195867538452,0.996666669845581,0.008981653489172459
18,0.9833333492279053,0.07140572369098663,0.996666669845581,0.008783131837844849
19,0.9791666865348816,0.07186995446681976,0.996666669845581,0.008656293153762817
