epoch,accuracy,loss,val_accuracy,val_loss
0,0.9416666626930237,1.6211888790130615,0.9933333396911621,0.023494526743888855
1,0.9733333587646484,0.07854318618774414,1.0,0.016264980658888817
2,0.9725000262260437,0.07575182616710663,1.0,0.011399590410292149
3,0.9791666865348816,0.06375285238027573,1.0,0.010138981975615025
4,0.9758333563804626,0.074889175593853,1.0,0.009394603781402111
5,0.9833333492279053,0.05760988965630531,1.0,0.008967855013906956
6,0.9808333516120911,0.05906021222472191,1.0,0.008727359585464
7,0.9808333516120911,0.06043170392513275,1.0,0.00858925562351942
8,0.9741666913032532,0.06527546793222427,1.0,0.008504300378262997
9,0.9783333539962769,0.057167455554008484,1.0,0.008444526232779026
10,0.9850000143051147,0.049018751829862595,1.0,0.00839922484010458
11,0.9775000214576721,0.06192375347018242,1.0,0.008356847800314426
12,0.9791666865348816,0.06509539484977722,1.0,0.008319450542330742
13,0.9883333444595337,0.05448148772120476,1.0,0.008272913284599781
14,0.9808333516120911,0.05453740432858467,1.0,0.008228435181081295
15,0.9775000214576721,0.06154101714491844,1.0,0.00818150956183672
16,0.9808333516120911,0.055184200406074524,1.0,0.008127751760184765
17,0.9791666865348816,0.05973149091005325,1.0,0.008072005584836006
18,0.9800000190734863,0.05057905986905098,1.0,0.00801426637917757
19,0.9833333492279053,0.05274076387286186,1.0,0.007954553700983524
