,precision,recall,f1-score,support
0.0,0.9302325581395349,1.0,0.963855421686747,200.0
1.0,1.0,0.925,0.961038961038961,200.0
accuracy,0.9625,0.9625,0.9625,0.9625
macro avg,0.9651162790697674,0.9625,0.9624471913628541,400.0
weighted avg,0.9651162790697674,0.9625,0.962447191362854,400.0
