,precision,recall,f1-score,support
0.0,0.9345794392523364,1.0,0.966183574879227,100.0
1.0,1.0,0.93,0.9637305699481865,100.0
accuracy,0.965,0.965,0.965,0.965
macro avg,0.9672897196261683,0.9650000000000001,0.9649570724137068,200.0
weighted avg,0.9672897196261683,0.965,0.9649570724137068,200.0
